# cycle	 average reward
1	 0
2	 0.5
3	 0.666667
4	 0.5
5	 0.6
6	 0.5
7	 0.571429
8	 0.5
9	 0.555556
10	 0.5
11	 0.545455
12	 0.583333
13	 0.615385
14	 0.642857
15	 0.666667
16	 0.6875
17	 0.705882
18	 0.722222
19	 0.736842
20	 0.75
21	 0.761905
22	 0.772727
23	 0.782609
24	 0.791667
25	 0.8
26	 0.807692
27	 0.814815
28	 0.821429
29	 0.827586
30	 0.833333
31	 0.83871
32	 0.84375
33	 0.848485
34	 0.852941
35	 0.857143
36	 0.861111
37	 0.864865
38	 0.868421
39	 0.871795
40	 0.875
41	 0.878049
42	 0.880952
43	 0.883721
44	 0.886364
45	 0.888889
46	 0.891304
47	 0.893617
48	 0.895833
49	 0.897959
50	 0.9
51	 0.901961
52	 0.903846
53	 0.90566
54	 0.907407
55	 0.909091
56	 0.910714
57	 0.912281
58	 0.913793
59	 0.915254
60	 0.916667
61	 0.918033
62	 0.919355
63	 0.920635
64	 0.921875
65	 0.923077
66	 0.924242
67	 0.925373
68	 0.926471
69	 0.927536
70	 0.928571
71	 0.929577
72	 0.930556
73	 0.931507
74	 0.932432
75	 0.933333
76	 0.934211
77	 0.935065
78	 0.935897
79	 0.936709
80	 0.9375
81	 0.938272
82	 0.939024
83	 0.939759
84	 0.940476
85	 0.941176
86	 0.94186
87	 0.942529
88	 0.943182
89	 0.94382
90	 0.944444
91	 0.945055
92	 0.945652
93	 0.946237
94	 0.946809
95	 0.947368
96	 0.947917
97	 0.948454
98	 0.94898
99	 0.949495
100	 0.95
101	 0.950495
102	 0.95098
103	 0.951456
104	 0.951923
105	 0.952381
106	 0.95283
107	 0.953271
108	 0.953704
109	 0.954128
110	 0.954545
111	 0.954955
112	 0.955357
113	 0.955752
114	 0.95614
115	 0.956522
116	 0.956897
117	 0.957265
118	 0.957627
119	 0.957983
120	 0.958333
121	 0.958678
122	 0.959016
123	 0.95935
124	 0.959677
125	 0.96
126	 0.960317
127	 0.96063
128	 0.960938
129	 0.96124
130	 0.961538
131	 0.961832
132	 0.962121
133	 0.962406
134	 0.962687
135	 0.962963
136	 0.963235
137	 0.963504
138	 0.963768
139	 0.964029
140	 0.964286
141	 0.964539
142	 0.964789
143	 0.965035
144	 0.965278
145	 0.965517
146	 0.965753
147	 0.965986
148	 0.966216
149	 0.966443
150	 0.966667
151	 0.966887
152	 0.967105
153	 0.960784
154	 0.961039
155	 0.96129
156	 0.961538
157	 0.961783
158	 0.962025
159	 0.962264
160	 0.9625
161	 0.962733
162	 0.962963
163	 0.96319
164	 0.963415
165	 0.963636
166	 0.963855
167	 0.964072
168	 0.964286
169	 0.964497
170	 0.964706
171	 0.964912
172	 0.965116
173	 0.965318
174	 0.965517
175	 0.965714
176	 0.965909
177	 0.966102
178	 0.966292
179	 0.96648
180	 0.966667
181	 0.966851
182	 0.967033
183	 0.967213
184	 0.967391
185	 0.967568
186	 0.967742
187	 0.967914
188	 0.968085
189	 0.968254
190	 0.968421
191	 0.968586
192	 0.96875
193	 0.968912
194	 0.969072
195	 0.969231
196	 0.969388
197	 0.969543
198	 0.969697
199	 0.969849
200	 0.97
201	 0.970149
202	 0.970297
203	 0.970443
204	 0.970588
205	 0.970732
206	 0.970874
207	 0.971014
208	 0.971154
209	 0.971292
210	 0.971429
211	 0.971564
212	 0.971698
213	 0.971831
214	 0.971963
215	 0.972093
216	 0.972222
217	 0.97235
218	 0.972477
219	 0.972603
220	 0.972727
221	 0.972851
222	 0.972973
223	 0.973094
224	 0.973214
225	 0.973333
226	 0.973451
227	 0.973568
228	 0.973684
229	 0.973799
230	 0.973913
231	 0.974026
232	 0.974138
233	 0.974249
234	 0.974359
235	 0.974468
236	 0.974576
237	 0.974684
238	 0.97479
239	 0.974895
240	 0.975
241	 0.975104
242	 0.975207
243	 0.975309
244	 0.97541
245	 0.97551
246	 0.97561
247	 0.975709
248	 0.975806
249	 0.975904
250	 0.976
251	 0.976096
252	 0.97619
253	 0.976285
254	 0.976378
255	 0.976471
256	 0.976562
257	 0.976654
258	 0.976744
259	 0.976834
260	 0.976923
261	 0.977011
262	 0.977099
263	 0.977186
264	 0.977273
265	 0.977358
266	 0.977444
267	 0.977528
268	 0.977612
269	 0.977695
270	 0.977778
271	 0.97786
272	 0.977941
273	 0.978022
274	 0.978102
275	 0.978182
276	 0.978261
277	 0.978339
278	 0.978417
279	 0.978495
280	 0.978571
281	 0.978648
282	 0.978723
283	 0.978799
284	 0.978873
285	 0.978947
286	 0.979021
287	 0.979094
288	 0.979167
289	 0.979239
290	 0.97931
291	 0.979381
292	 0.979452
293	 0.979522
294	 0.979592
295	 0.979661
296	 0.97973
297	 0.979798
298	 0.979866
299	 0.979933
300	 0.98
301	 0.980066
302	 0.980132
303	 0.980198
304	 0.980263
305	 0.980328
306	 0.980392
307	 0.980456
308	 0.980519
309	 0.980583
310	 0.980645
311	 0.980707
312	 0.980769
313	 0.980831
314	 0.980892
315	 0.980952
316	 0.981013
317	 0.981073
318	 0.981132
319	 0.981191
320	 0.98125
321	 0.981308
322	 0.981366
323	 0.981424
324	 0.981481
325	 0.981538
326	 0.981595
327	 0.981651
328	 0.981707
329	 0.981763
330	 0.981818
331	 0.981873
332	 0.981928
333	 0.981982
334	 0.982036
335	 0.98209
336	 0.982143
337	 0.982196
338	 0.982249
339	 0.982301
340	 0.982353
341	 0.982405
342	 0.982456
343	 0.982507
344	 0.982558
345	 0.982609
346	 0.982659
347	 0.982709
348	 0.982759
349	 0.982808
350	 0.982857
351	 0.982906
352	 0.982955
353	 0.983003
354	 0.983051
355	 0.983099
356	 0.983146
357	 0.983193
358	 0.98324
359	 0.983287
360	 0.983333
361	 0.98338
362	 0.983425
363	 0.983471
364	 0.983516
365	 0.983562
366	 0.983607
367	 0.983651
368	 0.983696
369	 0.98374
370	 0.983784
371	 0.983827
372	 0.983871
373	 0.983914
374	 0.983957
375	 0.984
376	 0.984043
377	 0.984085
378	 0.984127
379	 0.984169
380	 0.984211
381	 0.984252
382	 0.984293
383	 0.984334
384	 0.984375
385	 0.984416
386	 0.984456
387	 0.984496
388	 0.984536
389	 0.984576
390	 0.984615
391	 0.984655
392	 0.984694
393	 0.984733
394	 0.984772
395	 0.98481
396	 0.984848
397	 0.984887
398	 0.984925
399	 0.984962
400	 0.985
401	 0.985037
402	 0.985075
403	 0.985112
404	 0.985149
405	 0.985185
406	 0.985222
407	 0.985258
408	 0.985294
409	 0.98533
410	 0.985366
411	 0.985401
412	 0.985437
413	 0.985472
414	 0.985507
415	 0.985542
416	 0.985577
417	 0.985612
418	 0.985646
419	 0.98568
420	 0.985714
421	 0.985748
422	 0.985782
423	 0.985816
424	 0.985849
425	 0.985882
426	 0.985915
427	 0.985948
428	 0.985981
429	 0.986014
430	 0.986047
431	 0.986079
432	 0.986111
433	 0.986143
434	 0.986175
435	 0.986207
436	 0.986239
437	 0.98627
438	 0.986301
439	 0.986333
440	 0.986364
441	 0.986395
442	 0.986425
443	 0.986456
444	 0.986486
445	 0.986517
446	 0.986547
447	 0.986577
448	 0.986607
449	 0.986637
450	 0.986667
451	 0.986696
452	 0.986726
453	 0.986755
454	 0.986784
455	 0.986813
456	 0.986842
457	 0.986871
458	 0.9869
459	 0.986928
460	 0.986957
461	 0.986985
462	 0.987013
463	 0.987041
464	 0.987069
465	 0.987097
466	 0.987124
467	 0.987152
468	 0.987179
469	 0.987207
470	 0.987234
471	 0.987261
472	 0.987288
473	 0.987315
474	 0.987342
475	 0.987368
476	 0.987395
477	 0.987421
478	 0.987448
479	 0.987474
480	 0.9875
481	 0.987526
482	 0.987552
483	 0.987578
484	 0.987603
485	 0.987629
486	 0.987654
487	 0.98768
488	 0.987705
489	 0.98773
490	 0.987755
491	 0.98778
492	 0.987805
493	 0.98783
494	 0.987854
495	 0.987879
496	 0.987903
497	 0.987928
498	 0.987952
499	 0.987976
500	 0.988
501	 0.988024
502	 0.988048
503	 0.988072
504	 0.988095
505	 0.988119
506	 0.988142
507	 0.988166
508	 0.988189
509	 0.988212
510	 0.988235
511	 0.988258
512	 0.988281
513	 0.988304
514	 0.988327
515	 0.98835
516	 0.988372
517	 0.988395
518	 0.988417
519	 0.988439
520	 0.988462
521	 0.988484
522	 0.988506
523	 0.988528
524	 0.98855
525	 0.988571
